region,employment_status,loan_purpose,home_ownership,annual_income,loan_amount,debt_to_income,credit_score,credit_utilization,past_due_count,credit_inquiries,months_since_last_delinquency,employment_years,account_age_months,num_open_accounts,loan_to_income,high_dti_flag,low_credit_score_flag,high_utilization_flag,recent_delinquency_flag,short_employment_flag,actual_default,predicted_pd,risk_segment
Alberta,Employed,Auto,Mortgage,99716.78,64249.85,0.5871,694.0,0.0904,0,2,38.9,7.1,24.4,7,0.6443233525992316,1,0,0,0,0,1,0.02101752736872734,Medium Risk
Ontario,Employed,Debt consolidation,Rent,98140.44,28490.82,0.2917,547.0,0.5957,1,2,24.7,3.5,20.7,4,0.29030662589244555,0,1,0,0,0,0,0.12031898843429588,Very High Risk
Ontario,Employed,Debt consolidation,Own,77446.55,17448.55,0.3273,712.0,0.1144,1,3,27.1,0.6,66.6,5,0.2252979635632575,0,0,0,0,1,0,0.01433367704260389,Low Risk
Ontario,Self-employed,Auto,Rent,99724.05,23532.38,0.4426,696.0,0.5216,1,1,52.5,0.3,52.2,5,0.23597497293782194,0,0,0,0,1,0,0.01790270430076957,Medium Risk
Alberta,Employed,Auto,Rent,82010.32,40711.99,0.3963,591.0,0.5279,1,1,80.3,0.9,177.4,2,0.4964252059984645,0,1,0,0,1,0,0.01950475584216959,Medium Risk
Ontario,Employed,Debt consolidation,Own,72436.13,20620.94,0.5135,679.0,0.1767,1,2,0.3,3.3,161.2,6,0.28467754972553055,1,0,0,1,0,0,0.028438471172297617,Medium Risk
Alberta,Employed,Personal,Other,68723.57,16774.58,0.0945,669.0,0.2457,0,1,37.3,0.0,38.0,6,0.2440877271073083,0,0,0,0,1,0,0.008251382629051725,Very Low Risk
Ontario,Employed,Debt consolidation,Mortgage,77830.79,22683.73,0.1792,648.0,0.7167,0,2,13.1,0.1,21.2,8,0.2914493094570928,0,0,1,0,1,0,0.027205948876390662,Medium Risk
Ontario,Employed,Auto,Rent,63979.59,24185.14,0.2891,653.0,0.29,0,0,18.1,,162.3,8,0.3780133633241476,0,0,0,0,0,0,0.010072655579644778,Low Risk
Quebec,Employed,Auto,Mortgage,45578.75,26944.73,0.1992,604.0,0.531,0,1,6.2,6.8,4.4,9,0.5911686915503387,0,1,0,1,0,0,0.024368391539007283,Medium Risk
British Columbia,Employed,Debt consolidation,Mortgage,93663.23,26059.47,0.3337,655.0,0.3755,1,1,29.4,0.5,43.7,11,0.27822519039755517,0,0,0,0,1,0,0.020965336277802678,Medium Risk
Alberta,Employed,Auto,Mortgage,57172.82,26917.15,0.285,565.0,0.8334,0,3,16.7,3.4,16.7,2,0.4708032593109803,0,1,1,0,0,0,0.06972710481910883,Very High Risk
Quebec,Employed,Personal,Rent,59692.68,54222.88,0.2474,724.0,0.3178,0,1,12.9,2.2,91.3,8,0.9083673241007104,0,0,0,0,0,0,0.01751855568804397,Low Risk
Ontario,Employed,Debt consolidation,Mortgage,68755.89,11352.08,0.1658,,0.3527,2,1,10.6,8.4,39.6,2,0.16510701846779963,0,0,0,1,0,0,0.016524041171925075,Low Risk
Ontario,Employed,Debt consolidation,Own,96370.09,11805.88,0.2613,787.0,0.1193,1,3,14.1,2.7,32.8,6,0.1225056446455534,0,0,0,0,0,0,0.012099621531824374,Low Risk
Ontario,Self-employed,Debt consolidation,Own,79541.16,44119.69,0.5016,655.0,0.2139,0,4,26.6,10.5,83.2,13,0.5546774776731946,1,0,0,0,0,0,0.021290928342397007,Medium Risk
Quebec,Unemployed,Personal,Own,43929.98,11562.01,0.227,617.0,0.2054,1,0,15.8,7.3,91.2,8,0.26319178838688295,0,1,0,0,0,0,0.019877012052127715,Medium Risk
British Columbia,Employed,Auto,Rent,87770.18,45257.12,0.05,590.0,0.4239,2,3,34.5,0.2,117.8,9,0.5156320745838735,0,1,0,0,1,0,0.042289337171442044,High Risk
British Columbia,Employed,Debt consolidation,Rent,70610.55,29654.67,0.3871,742.0,0.1866,1,4,10.0,0.7,19.2,3,0.41997506038403604,0,0,0,1,1,0,0.04202793289268635,High Risk
Quebec,Self-employed,Debt consolidation,Own,56175.66,50759.77,0.153,620.0,0.1917,0,2,,11.5,53.6,10,0.9035900957816961,0,0,0,0,0,0,0.011148377811360924,Low Risk
British Columbia,Employed,Education,Mortgage,61144.48,20537.88,0.0879,679.0,0.4043,0,3,3.1,1.7,86.2,6,0.3358909913045299,0,0,0,1,1,0,0.01256249694161263,Low Risk
Ontario,Employed,Debt consolidation,Rent,55157.58,11550.32,0.6812,744.0,0.2824,0,2,32.2,0.2,30.5,6,0.20940585138071682,1,0,0,0,1,0,0.03738969603470673,High Risk
Ontario,Employed,Debt consolidation,Own,49807.83,25477.95,0.1488,544.0,0.397,1,2,16.9,6.2,13.8,3,0.5115249951664226,0,1,0,0,0,0,0.03820233945346708,High Risk
Alberta,Employed,Debt consolidation,Mortgage,94523.28,28907.25,0.0785,622.0,0.2862,0,0,18.9,2.8,24.3,1,0.30582148651633756,0,0,0,0,0,0,0.01711242135678095,Low Risk
British Columbia,Employed,Debt consolidation,Rent,75462.88,17428.28,0.0704,645.0,0.4307,0,2,1.6,3.7,61.6,5,0.23095169439597318,0,0,0,1,0,0,0.023695416220717202,Medium Risk
Quebec,Employed,Debt consolidation,Mortgage,149072.42,17252.76,0.366,683.0,0.3938,0,1,4.4,2.9,7.3,4,0.11573408414514232,0,0,0,1,0,0,0.027761484215981944,Medium Risk
British Columbia,Employed,Personal,Own,146987.85,30962.68,0.0671,588.0,0.3734,0,2,15.2,0.2,50.4,6,0.21064788688316755,0,1,0,0,1,0,0.015280799118858646,Low Risk
Alberta,Part-time,Personal,Own,72469.15,13437.3,0.4524,704.0,0.8264,1,0,12.0,5.1,67.2,7,0.18542096878464837,1,0,1,0,0,0,0.03347994794908562,High Risk
Other,Self-employed,Debt consolidation,Mortgage,60580.8,22930.84,0.6016,595.0,0.2951,0,1,19.7,1.4,62.4,5,0.3785166257296041,1,1,0,0,1,0,0.056339601158540635,Very High Risk
Ontario,Employed,Auto,Mortgage,57174.13,15723.39,0.3125,618.0,0.2036,0,1,36.9,10.0,3.0,10,0.2750088195482817,0,1,0,0,0,0,0.005737391547749068,Very Low Risk
Other,Self-employed,Personal,Rent,33818.07,14866.45,0.4316,777.0,0.4764,0,4,25.9,1.1,78.4,6,0.4396007814757022,0,0,0,0,1,0,0.024002561995429838,Medium Risk
Ontario,Self-employed,Auto,Other,74646.31,24574.62,0.3882,641.0,0.0959,0,2,25.2,27.8,66.3,9,0.3292141299415872,0,0,0,0,0,0,0.003579641210524231,Very Low Risk
Other,Employed,Debt consolidation,Rent,82476.94,32343.74,0.372,645.0,0.2436,0,2,21.3,0.7,104.1,4,0.3921549465826448,0,0,0,0,1,0,0.041324957034126905,High Risk
Quebec,Part-time,Personal,Own,54211.22,43312.58,0.1689,589.0,0.5475,0,3,4.4,3.0,82.1,7,0.7989596987487092,0,1,0,1,0,0,0.036068270325987174,High Risk
Ontario,Part-time,Home improvement,Mortgage,60005.78,33035.7,0.2915,677.0,0.6058,0,1,70.4,2.8,3.7,9,0.5505419644574239,0,0,0,0,0,0,0.00505847102952809,Very Low Risk
Ontario,Employed,Auto,Mortgage,83495.49,25921.93,0.0886,749.0,0.4498,3,2,17.5,6.5,54.4,9,0.31045904395554774,0,0,0,0,0,0,0.021277213602844753,Medium Risk
Ontario,Employed,Auto,Rent,128625.79,12409.97,0.3453,555.0,0.546,0,1,39.0,5.3,93.6,9,0.09648119556738971,0,1,0,0,0,0,0.021012414992681947,Medium Risk
Ontario,Employed,Auto,Mortgage,63311.88,25771.17,0.8076,671.0,0.2494,0,1,31.1,27.7,4.1,5,0.40705109372838083,1,0,0,0,0,0,0.007971788246594495,Very Low Risk
Alberta,Self-employed,Home improvement,Rent,57268.75,23004.85,0.687,694.0,0.376,2,1,24.7,0.3,83.5,8,0.40169987995198075,1,0,0,0,1,0,0.09291143076359364,Very High Risk
British Columbia,Employed,Home improvement,Mortgage,50177.53,59889.11,0.2654,767.0,0.3634,0,1,21.8,0.6,10.1,2,1.1935444012489256,0,0,0,0,1,0,0.007226012630284504,Very Low Risk
Ontario,Employed,Home improvement,Mortgage,,17957.7,0.4566,637.0,0.2615,1,1,13.0,6.1,10.9,5,,1,0,0,0,0,0,0.02433666052838225,Medium Risk
Alberta,Employed,Debt consolidation,Mortgage,60627.06,37342.3,0.0652,655.0,0.1063,2,3,35.7,3.0,156.9,6,0.6159345348430223,0,0,0,0,0,0,0.01459974187927369,Low Risk
Alberta,Self-employed,Debt consolidation,Own,69904.01,41388.48,0.2889,682.0,0.3883,2,3,12.2,3.8,86.2,5,0.5920759052306156,0,0,0,0,0,0,0.07018656185086532,Very High Risk
Ontario,Employed,Auto,Other,112304.81,24934.28,0.49,715.0,0.3825,2,0,46.6,4.7,24.6,2,0.22202325973393303,1,0,0,0,0,0,0.02109598775084648,Medium Risk
Quebec,Employed,Auto,Mortgage,26367.92,29511.09,0.6381,680.0,0.3499,1,3,7.5,0.5,159.5,4,1.1192043210082556,1,0,0,1,1,0,0.03587738745336065,High Risk
Alberta,Self-employed,Debt consolidation,Own,53427.22,23984.88,0.0888,692.0,0.7369,1,0,5.8,2.2,16.1,6,0.44892622150282196,0,0,1,1,0,0,0.019006698838617934,Medium Risk
Alberta,Self-employed,Auto,Other,58112.96,28451.7,0.2009,598.0,0.3299,1,2,1.0,1.0,139.2,9,0.48959302709757,0,1,0,1,1,0,0.04728257416940904,High Risk
Ontario,Employed,Education,Mortgage,61619.65,80931.96,0.6135,612.0,0.4368,0,5,19.8,2.2,33.1,7,1.3134115497248038,1,1,0,0,0,0,0.13709942334264288,Very High Risk
Ontario,Employed,Education,Mortgage,67848.68,34710.29,0.3114,783.0,0.9318,1,3,3.8,7.8,112.3,5,0.511583865743593,0,0,1,1,0,0,0.023853310575001715,Medium Risk
Quebec,Employed,Education,Mortgage,81865.61,23712.07,0.2923,707.0,0.7595,1,0,14.3,0.2,104.5,8,0.2896462873726831,0,0,1,0,1,0,0.023597854943521956,Medium Risk
British Columbia,Employed,Personal,Rent,73568.7,37538.61,0.1873,711.0,0.3303,1,1,21.1,2.4,43.6,7,0.5102524579066913,0,0,0,0,0,0,0.014173079942804862,Low Risk
British Columbia,Employed,Personal,Own,96988.62,27578.03,0.3117,667.0,0.7035,2,2,16.3,0.2,102.0,8,0.2843429466261093,0,0,1,0,1,0,0.026056996154289795,Medium Risk
Ontario,Employed,Education,Rent,75737.98,22273.44,0.1081,697.0,0.3126,0,2,17.8,8.3,63.0,7,0.294085477325907,0,0,0,0,0,0,0.010735643203698264,Low Risk
British Columbia,Self-employed,Home improvement,Rent,63713.48,15466.89,0.2276,663.0,0.4069,0,1,25.7,1.8,3.7,4,0.2427569487650023,0,0,0,0,1,0,0.012897315883852558,Low Risk
British Columbia,Employed,Home improvement,Mortgage,82896.5,85000.0,0.3273,637.0,0.2951,0,1,29.0,3.4,33.3,4,1.0253750158329966,0,0,0,0,0,0,0.01549461973855167,Low Risk
Alberta,Employed,Debt consolidation,Rent,56155.83,8389.04,0.5409,665.0,0.3986,2,1,8.6,9.2,134.1,4,0.14938858529915772,1,0,0,1,0,0,0.0849007285548437,Very High Risk
Quebec,Employed,Home improvement,Mortgage,82309.82,33252.42,0.5215,759.0,0.489,1,1,8.2,0.9,31.9,4,0.40399092113188917,1,0,0,1,1,0,0.04746575294931817,High Risk
British Columbia,Part-time,Home improvement,Own,160104.08,24483.04,0.0939,825.0,0.3098,1,1,43.0,0.5,36.1,4,0.1529195258484356,0,0,0,0,1,0,0.0025673047438108942,Very Low Risk
Ontario,Unemployed,Personal,Mortgage,86362.86,25367.59,0.3501,695.0,0.8872,1,0,30.5,3.9,77.7,13,0.2937326299754316,0,0,1,0,0,0,0.02429035728073212,Medium Risk
Ontario,Employed,Home improvement,Rent,57551.16,20304.72,0.2609,653.0,0.4963,0,2,8.6,10.5,93.7,6,0.352811654882369,0,0,0,1,0,0,0.0163065588776782,Low Risk
Ontario,Employed,Personal,Rent,103551.41,15898.58,0.3338,692.0,0.2158,1,1,15.8,5.1,47.7,6,0.15353320635614714,0,0,0,0,0,0,0.015406026628455105,Low Risk
Ontario,Employed,Personal,Mortgage,49401.95,33545.68,0.2881,731.0,0.711,0,1,13.8,7.3,86.6,6,0.6790355441435004,0,0,1,0,0,0,0.006639505209262881,Very Low Risk
British Columbia,Part-time,Debt consolidation,Rent,84358.15,17000.65,0.3372,643.0,0.8081,0,3,,,11.3,5,0.20152943135903292,0,0,1,0,0,1,0.05917114891173593,Very High Risk
Ontario,Employed,Debt consolidation,Rent,94574.44,24730.99,0.1448,696.0,0.1101,1,4,44.8,11.2,17.8,8,0.2614976097135759,0,0,0,0,0,0,0.009629325952492227,Very Low Risk
British Columbia,Employed,Auto,Mortgage,114895.27,32856.58,0.3917,730.0,0.179,1,2,47.1,3.6,50.8,2,0.2859698227786053,0,0,0,0,0,0,0.006059969049484475,Very Low Risk
Ontario,Part-time,Debt consolidation,Mortgage,48568.05,18072.41,0.3252,694.0,0.3387,1,2,15.9,12.1,3.0,6,0.3721049125917141,0,0,0,0,0,0,0.019077227451515855,Medium Risk
British Columbia,Unemployed,Education,Mortgage,79050.8,31411.23,0.2893,579.0,0.0343,0,1,34.4,2.2,8.7,7,0.3973549919798408,0,1,0,0,0,0,0.016329881961190985,Low Risk
Ontario,Part-time,Auto,Rent,67928.65,12982.85,0.2386,707.0,0.8248,2,2,2.0,13.1,38.3,3,0.1911248052184167,0,0,1,1,0,0,0.034277242339173876,High Risk
Quebec,Part-time,Education,Mortgage,76769.51,23394.08,0.2497,587.0,0.1848,0,2,8.4,6.4,85.7,3,0.30473139661826687,0,1,0,1,0,0,0.017862255727583275,Medium Risk
Other,Employed,Personal,Rent,75222.29,33855.4,0.5152,627.0,0.3818,0,2,23.4,0.4,24.6,5,0.4500713817672927,1,0,0,0,1,0,0.06980106260158175,Very High Risk
Quebec,Part-time,Debt consolidation,Own,80975.61,33424.56,0.428,763.0,0.6039,0,4,24.3,16.9,27.6,5,0.41277317947959885,0,0,0,0,0,0,0.02876335412552902,Medium Risk
Quebec,Employed,Auto,Mortgage,99941.37,18472.11,0.1946,625.0,0.6129,1,3,16.5,2.6,54.3,6,0.18482946551563184,0,0,0,0,0,0,0.05566352524748715,Very High Risk
Ontario,Employed,Personal,Mortgage,83141.87,35584.35,0.3224,667.0,0.285,0,1,4.2,3.9,27.9,6,0.42799554544539353,0,0,0,1,0,0,0.012204508380480436,Low Risk
Alberta,Employed,Debt consolidation,Mortgage,89714.87,28098.91,0.3219,683.0,0.6017,1,1,6.2,2.0,11.3,11,0.3132023710227747,0,0,0,1,0,0,0.06972176704679856,Very High Risk
British Columbia,Part-time,Personal,Rent,74492.28,42301.0,0.05,,0.4345,3,1,1.6,1.4,19.3,7,0.5678575014753207,0,0,0,1,1,0,0.04670606957195469,High Risk
Quebec,Self-employed,Debt consolidation,Rent,60783.21,10676.41,0.2031,616.0,0.4117,1,5,17.1,1.4,11.4,10,0.1756473539321138,0,1,0,0,1,0,0.12629593414719287,Very High Risk
Ontario,Part-time,Debt consolidation,Rent,138570.57,21851.61,0.2572,734.0,0.151,2,2,16.5,2.9,10.8,1,0.15769300797420405,0,0,0,0,0,0,0.03451072989414473,High Risk
British Columbia,Employed,Debt consolidation,Own,104420.86,13393.82,0.6189,670.0,0.1638,2,2,43.9,2.2,47.8,5,0.12826766605829523,1,0,0,0,0,0,0.023615407902804877,Medium Risk
Ontario,Employed,Auto,Own,51778.63,22042.92,0.0951,644.0,0.3885,1,1,10.4,3.0,39.6,7,0.4257146239674553,0,0,0,1,0,0,0.01127874642254121,Low Risk
Ontario,Employed,Personal,Mortgage,127989.74,22046.64,0.2787,762.0,0.2701,2,1,8.5,2.4,3.8,4,0.17225318216913324,0,0,0,1,0,0,0.012942102433613172,Low Risk
Ontario,Self-employed,Debt consolidation,Own,60736.02,50448.94,0.6327,658.0,0.3568,4,3,15.9,3.2,104.2,6,0.8306263729496929,1,0,0,0,0,0,0.17660235296669283,Very High Risk
Other,Employed,Debt consolidation,Own,58217.69,12285.82,0.253,702.0,0.0945,0,2,23.1,7.5,36.6,5,0.21103241987100482,0,0,0,0,0,0,0.00789161231716701,Very Low Risk
Alberta,Unemployed,Home improvement,Own,88630.19,39630.26,0.05,621.0,0.6804,0,1,8.9,1.0,38.4,5,0.44714176963853963,0,0,0,1,1,0,0.06403178905391899,Very High Risk
Ontario,Part-time,Debt consolidation,Rent,174940.73,42949.19,0.4294,512.0,0.2377,1,4,12.7,13.1,149.8,5,0.24550709260216302,0,1,0,0,0,0,0.09929458936282559,Very High Risk
Alberta,Employed,Debt consolidation,Own,54580.73,16454.24,0.1184,698.0,0.4215,0,0,11.0,5.4,59.2,7,0.3014661035130897,0,0,0,1,0,0,0.0100845847211895,Low Risk
Other,Employed,Personal,Own,127555.89,32571.09,0.2985,,0.259,1,2,4.0,,7.4,4,0.25534759704157917,0,0,0,1,0,0,0.02423208565676374,Medium Risk
British Columbia,Employed,Auto,Own,75577.72,31797.79,0.5965,723.0,0.3431,0,0,3.5,0.5,4.5,4,0.420729680651917,1,0,0,1,1,0,0.02192082005592958,Medium Risk
Ontario,Part-time,Debt consolidation,Mortgage,92934.82,24128.37,0.2367,627.0,0.7506,1,2,12.4,3.5,26.3,7,0.2596268008051234,0,0,1,0,0,0,0.04475590504541269,High Risk
Alberta,Self-employed,Home improvement,Rent,46822.52,18804.32,0.3973,750.0,0.7659,0,1,50.4,0.1,107.7,9,0.4016084567853247,0,0,1,0,1,0,0.009091649173253058,Very Low Risk
Quebec,Employed,Debt consolidation,Mortgage,69679.48,33298.01,0.1974,667.0,0.4921,0,2,34.6,6.6,11.8,8,0.4778739738011823,0,0,0,0,0,0,0.018604555840435525,Medium Risk
British Columbia,Part-time,Debt consolidation,Mortgage,117835.62,23255.33,0.2179,681.0,0.5253,1,1,7.7,1.1,83.5,3,0.1973539919423346,0,0,0,1,1,0,0.024597692672634362,Medium Risk
Quebec,Employed,Auto,Mortgage,77489.03,35932.82,0.396,756.0,0.2961,1,1,12.8,0.2,23.8,5,0.46371492842277157,0,0,0,0,1,0,0.028122105093325633,Medium Risk
Quebec,Part-time,Home improvement,Mortgage,72795.12,22332.52,0.6014,760.0,0.5281,0,1,36.7,3.3,36.9,7,0.3067859493878161,1,0,0,0,0,0,0.020601599596544,Medium Risk
Quebec,Part-time,Debt consolidation,Mortgage,85801.92,46820.1,0.5406,625.0,0.1993,0,4,35.1,8.8,55.7,7,0.5456766002439106,1,0,0,0,0,0,0.04178387638880145,High Risk
Quebec,Employed,Home improvement,Mortgage,84431.59,27325.72,0.3814,595.0,0.1349,0,1,5.7,5.1,3.0,6,0.32364331880993835,0,1,0,1,0,1,0.020636123937555838,Medium Risk
Ontario,Employed,Home improvement,Mortgage,85519.6,11771.81,0.3839,687.0,0.5669,1,4,7.8,0.8,18.5,6,0.13765043335095112,0,0,0,1,1,0,0.051737648885840065,Very High Risk
Ontario,Employed,Auto,Other,99856.52,40513.79,0.2475,719.0,0.1239,2,2,5.2,2.6,111.5,13,0.4057200270948757,0,0,0,1,0,0,0.02104785712002019,Medium Risk
Quebec,Part-time,Personal,Mortgage,56109.46,40978.96,0.1858,575.0,0.1923,2,4,5.2,8.1,7.7,6,0.7303395897946621,0,1,0,1,0,0,0.04776643434532968,High Risk
Ontario,Employed,Auto,Own,73017.76,20803.65,0.2121,606.0,0.7025,1,0,0.8,7.0,4.9,6,0.2849121912258059,0,1,1,1,0,0,0.0199030013678142,Medium Risk
Alberta,Employed,Education,Rent,53645.45,17373.75,0.4212,694.0,0.4431,0,1,25.8,2.8,34.7,5,0.3238625083767589,0,0,0,0,0,0,0.0337046401676197,High Risk
Quebec,Employed,Debt consolidation,Rent,53147.18,20741.82,0.4384,763.0,0.7132,0,0,14.9,15.9,95.4,4,0.3902713182524454,0,0,1,0,0,0,0.01371794603455719,Low Risk
Ontario,Part-time,Auto,Mortgage,75536.89,18779.25,0.3937,712.0,0.4927,0,3,9.8,0.8,36.1,5,0.248610314774675,0,0,0,1,1,0,0.025572594121102535,Medium Risk
Other,Employed,Personal,Mortgage,27632.1,41356.66,0.3089,728.0,0.6179,1,4,17.6,0.1,30.7,4,1.4966889957694134,0,0,0,0,1,0,0.029215416450808163,High Risk
Ontario,Part-time,Personal,Rent,91290.93,64764.37,0.3208,622.0,0.2441,0,2,17.7,0.3,55.4,4,0.709428307938149,0,0,0,0,1,0,0.03839087287474794,High Risk
Other,Part-time,Home improvement,Rent,66111.51,60498.02,0.279,588.0,0.144,0,2,18.7,15.9,11.1,7,0.9150905795375117,0,1,0,0,0,0,0.022534358145281274,Medium Risk
British Columbia,Employed,Debt consolidation,Mortgage,81048.26,37959.92,0.2672,665.0,0.4419,0,1,66.1,3.0,112.2,7,0.4683619364561312,0,0,0,0,0,0,0.004263951069718422,Very Low Risk
Ontario,Self-employed,Personal,Rent,102658.28,17365.76,0.2601,592.0,0.6244,2,0,9.7,2.4,12.6,4,0.1691608314497379,0,1,0,1,0,0,0.06033645539765587,Very High Risk
Ontario,Employed,Education,Rent,65430.5,39919.09,0.421,616.0,0.2516,0,1,0.2,0.8,3.0,4,0.6100991127990768,0,1,0,1,1,0,0.05118124981615683,Very High Risk
British Columbia,Unemployed,Auto,Own,174701.57,34940.62,0.3935,704.0,0.1977,0,1,49.0,10.2,37.9,7,0.20000175155838612,0,0,0,0,0,0,0.005378589176752768,Very Low Risk
Quebec,Employed,Auto,Rent,94330.78,28511.15,0.3452,671.0,0.6874,1,1,23.5,1.0,3.0,7,0.30224652017082865,0,0,0,0,1,0,0.08584054367443494,Very High Risk
Alberta,Employed,Personal,Other,111219.19,20097.26,0.2263,734.0,0.4398,1,0,12.2,1.9,32.5,7,0.1806995717195926,0,0,0,0,1,0,0.02648169798537304,Medium Risk
Other,Employed,Auto,Own,105649.33,21949.0,0.5241,795.0,0.3948,1,2,19.0,3.2,9.8,9,0.2077533288663544,1,0,0,0,0,0,0.03322297365412404,High Risk
Ontario,Employed,Debt consolidation,Rent,56703.72,43753.09,0.5261,739.0,0.2635,2,2,46.2,1.4,45.3,3,0.7716088115559261,1,0,0,0,1,0,0.03934206710095341,High Risk
British Columbia,Self-employed,Education,Rent,115335.81,39646.21,0.4099,604.0,0.4589,1,4,6.7,2.3,48.7,7,0.3437458843008082,0,1,0,1,0,0,0.11282096526757482,Very High Risk
Other,Employed,Debt consolidation,Own,117977.27,23413.06,0.4002,719.0,0.178,1,1,43.9,7.2,29.5,4,0.1984539903322055,0,0,0,0,0,0,0.008777231489520577,Very Low Risk
Ontario,Employed,Auto,Own,163057.16,22595.4,0.1321,628.0,0.5698,0,0,5.9,2.5,4.7,4,0.13857349165163924,0,0,0,1,0,0,0.01420935545614606,Low Risk
British Columbia,Employed,Education,Mortgage,52425.74,45501.76,0.4258,707.0,0.5078,0,2,29.4,3.7,25.5,4,0.8679278537603857,0,0,0,0,0,0,0.01571776073024439,Low Risk
Ontario,Employed,Education,Rent,32585.51,9012.06,0.3821,744.0,0.3516,0,2,37.1,8.5,12.7,7,0.27656648614675666,0,0,0,0,0,0,0.009170979452217485,Very Low Risk
Ontario,Employed,Personal,Rent,85732.61,22666.66,0.4668,823.0,0.0806,1,0,34.9,1.0,57.7,10,0.26438784495188006,1,0,0,0,1,0,0.0066732717256641145,Very Low Risk
Alberta,Part-time,Personal,Mortgage,127183.3,21066.79,0.5544,705.0,0.6245,1,1,4.6,2.9,74.5,6,0.16564116515297214,1,0,0,1,0,0,0.06576201723203155,Very High Risk
Ontario,Self-employed,Home improvement,Mortgage,51429.69,16990.62,0.2707,781.0,0.0897,1,3,64.0,2.3,3.6,7,0.3303659812065754,0,0,0,0,0,0,0.0021884809559728088,Very Low Risk
Quebec,Employed,Home improvement,Rent,48024.67,24786.75,0.3833,605.0,0.2113,0,0,17.5,9.8,96.9,9,0.5161253580711747,0,1,0,0,0,0,0.015204024992776977,Low Risk
Ontario,Self-employed,Debt consolidation,Mortgage,162604.59,37903.52,0.569,701.0,0.5517,0,1,16.6,1.4,3.0,5,0.23310239889292175,1,0,0,0,1,0,0.05945862803910381,Very High Risk
Ontario,Self-employed,Debt consolidation,Own,38646.14,35767.74,0.3743,722.0,0.3477,0,1,6.4,2.6,99.2,4,0.9255190815952123,0,0,0,1,0,0,0.008901225745272249,Very Low Risk
Quebec,Employed,Debt consolidation,Rent,75643.07,33973.02,0.1714,700.0,0.3612,0,1,7.8,5.3,42.7,8,0.4491227021854083,0,0,0,1,0,0,0.02365782314302108,Medium Risk
Quebec,Part-time,Debt consolidation,Own,69263.96,19640.21,0.398,798.0,0.1304,1,2,2.9,5.1,44.9,5,0.2835559791845571,0,0,0,1,0,0,0.016737654619610756,Low Risk
British Columbia,Self-employed,Education,Rent,65696.23,14772.0,0.2759,660.0,0.2656,1,2,6.1,8.5,7.1,6,0.22485308517703376,0,0,0,1,0,0,0.019103501132754167,Medium Risk
Ontario,Employed,Debt consolidation,Mortgage,46356.53,27734.69,0.1956,699.0,0.3664,2,1,43.2,0.7,192.4,9,0.5982908988226685,0,0,0,0,1,0,0.00822255056411984,Very Low Risk
Ontario,Employed,Personal,Mortgage,71067.38,37900.77,0.1352,609.0,0.3347,0,3,6.1,1.7,111.7,9,0.533307545599683,0,1,0,1,1,0,0.01636976544825853,Low Risk
