borrower_id,period,region,employment_status,loan_purpose,home_ownership,annual_income,loan_amount,debt_to_income,credit_score,credit_utilization,past_due_count,credit_inquiries,months_since_last_delinquency,employment_years,account_age_months,num_open_accounts,default
B000048,OOT,Ontario,Employed,Education,Mortgage,72481.77,29398.47,0.5817,622.0,0.6997,1,2,2.6,6.7,81.6,3,0
B000049,OOT,Alberta,Employed,Auto,Mortgage,99716.78,64249.85,0.5871,694.0,0.0904,0,2,38.9,7.1,24.4,7,1
B000050,Development,Ontario,Employed,Personal,Rent,183471.74,16299.47,0.1724,727.0,0.6153,0,2,5.3,6.2,103.8,2,0
B000051,Development,Other,Part-time,Debt consolidation,Other,105613.57,31148.68,0.2005,689.0,0.4791,1,3,14.7,6.3,108.0,7,0
B000052,OOT,Ontario,Employed,Debt consolidation,Rent,98140.44,28490.82,0.2917,547.0,0.5957,1,2,24.7,3.5,20.7,4,0
B000053,Development,Quebec,Part-time,Debt consolidation,Mortgage,36114.46,51747.7,0.0881,841.0,0.0579,0,1,66.6,6.7,166.1,11,0
B000054,Development,Ontario,Employed,Debt consolidation,Mortgage,76103.16,14864.4,0.1683,660.0,0.3804,1,0,30.0,6.8,45.0,7,0
B000055,Development,British Columbia,Part-time,Home improvement,Own,159002.03,33690.96,0.5161,,0.7078,0,2,0.6,9.6,182.9,16,0
B000056,Development,British Columbia,Employed,Auto,Rent,46483.39,23106.53,0.2904,628.0,0.2418,1,0,42.1,9.0,90.0,1,0
B000057,OOT,Ontario,Employed,Debt consolidation,Own,77446.55,17448.55,0.3273,712.0,0.1144,1,3,27.1,0.6,66.6,5,0
B000058,Development,Ontario,Employed,Debt consolidation,Rent,42319.79,24470.98,0.1434,774.0,0.6541,0,0,8.3,0.0,90.6,3,0
B000059,Development,Alberta,Part-time,Debt consolidation,Mortgage,100217.73,17212.49,0.0961,720.0,0.1955,0,3,23.2,2.4,10.7,12,0
B000060,Development,British Columbia,Part-time,Debt consolidation,Mortgage,,10930.81,0.2193,572.0,0.2865,1,2,11.3,3.2,94.7,6,0
B000061,Development,Ontario,Employed,Personal,Rent,135442.0,63735.85,0.2128,696.0,0.2916,0,1,20.5,8.9,165.7,5,0
B000062,Development,Ontario,Employed,Auto,Rent,84444.18,18063.99,0.3532,807.0,0.8602,1,2,1.1,3.6,34.5,2,0
B000063,Development,Ontario,Self-employed,Debt consolidation,Rent,42813.1,29587.49,0.2855,615.0,0.765,0,2,5.1,10.3,34.0,3,0
B000064,Development,Ontario,Self-employed,Debt consolidation,Rent,41515.9,25206.56,0.2669,760.0,0.6146,0,1,30.3,7.0,10.1,12,0
B000065,OOT,Ontario,Self-employed,Auto,Rent,99724.05,23532.38,0.4426,696.0,0.5216,1,1,52.5,0.3,52.2,5,0
B000066,Development,Other,Employed,Home improvement,Mortgage,103426.8,33187.36,0.2546,709.0,0.256,0,1,26.6,4.4,17.4,3,0
B000067,Development,Ontario,Employed,Home improvement,Rent,68923.19,85000.0,0.0661,842.0,0.3911,0,2,2.2,2.7,22.5,4,0
B000068,OOT,Alberta,Employed,Auto,Rent,82010.32,40711.99,0.3963,591.0,0.5279,1,1,80.3,0.9,177.4,2,0
B000069,Development,Ontario,Employed,Debt consolidation,Rent,58403.2,19167.73,0.3069,715.0,0.4969,0,1,55.9,0.3,28.8,6,0
B000070,Development,Ontario,Employed,Auto,Mortgage,93750.81,39567.89,0.3595,651.0,0.4108,1,0,7.5,3.3,91.3,3,0
B000071,Development,Ontario,Employed,Auto,Own,83691.25,28654.02,0.0681,754.0,0.7098,0,4,11.8,3.0,12.5,4,0
B000072,Development,Ontario,Employed,Debt consolidation,Own,80312.04,42631.78,0.111,659.0,0.4923,0,1,19.1,4.1,8.4,6,0
B000073,Development,Ontario,Employed,Auto,Other,94815.61,18335.65,0.4477,740.0,0.2609,3,2,30.7,4.4,5.4,8,0
B000074,Development,Ontario,Employed,Debt consolidation,Own,79508.17,63439.35,0.1652,690.0,0.7316,1,0,96.0,3.1,5.2,5,0
B000075,Development,British Columbia,Part-time,Debt consolidation,Rent,57214.42,22202.04,0.1592,701.0,0.5224,0,1,3.4,7.1,51.9,7,0
B000076,OOT,Ontario,Employed,Debt consolidation,Own,72436.13,20620.94,0.5135,679.0,0.1767,1,2,0.3,3.3,161.2,6,0
B000077,Development,Quebec,Self-employed,Education,Mortgage,72401.97,26522.07,0.2452,656.0,0.3334,2,1,0.3,0.0,61.2,4,0
B000078,Development,British Columbia,Employed,Auto,Own,68266.46,35949.76,0.1604,752.0,0.4107,1,1,21.8,1.4,61.0,7,0
B000079,OOT,Alberta,Employed,Personal,Other,68723.57,16774.58,0.0945,669.0,0.2457,0,1,37.3,0.0,38.0,6,0
B000080,OOT,Ontario,Employed,Debt consolidation,Mortgage,77830.79,22683.73,0.1792,648.0,0.7167,0,2,13.1,0.1,21.2,8,0
B000081,Development,Quebec,Employed,Auto,Other,76393.85,20176.71,0.3485,583.0,0.5302,2,2,6.5,3.3,164.0,4,0
B000082,OOT,Ontario,Employed,Auto,Rent,63979.59,24185.14,0.2891,653.0,0.29,0,0,18.1,,162.3,8,0
B000083,OOT,Quebec,Employed,Auto,Mortgage,45578.75,26944.73,0.1992,604.0,0.531,0,1,6.2,6.8,4.4,9,0
B000084,OOT,British Columbia,Employed,Debt consolidation,Mortgage,93663.23,26059.47,0.3337,655.0,0.3755,1,1,29.4,0.5,43.7,11,0
B000085,Development,Quebec,Self-employed,Auto,Own,49051.47,30891.19,0.3422,744.0,0.0358,0,1,9.7,5.1,44.5,7,0
B000086,Development,Quebec,Self-employed,Debt consolidation,Mortgage,166310.19,55579.56,0.1736,621.0,0.2796,0,1,1.2,20.8,47.3,4,0
B000087,Development,Quebec,Employed,Debt consolidation,Mortgage,81642.89,16254.88,0.5439,,0.2475,2,2,37.2,13.1,14.3,11,0
B000088,OOT,Alberta,Employed,Auto,Mortgage,57172.82,26917.15,0.285,565.0,0.8334,0,3,16.7,3.4,16.7,2,0
B000089,OOT,Quebec,Employed,Personal,Rent,59692.68,54222.88,0.2474,724.0,0.3178,0,1,12.9,2.2,91.3,8,0
B000090,Development,Ontario,Employed,Debt consolidation,Mortgage,95425.9,10243.88,0.2104,689.0,0.4448,2,1,24.5,0.4,36.9,7,0
B000091,Development,British Columbia,Employed,Debt consolidation,Own,83867.54,28406.41,0.3991,747.0,0.1578,0,0,7.5,2.4,33.9,6,0
B000092,OOT,Ontario,Employed,Debt consolidation,Mortgage,68755.89,11352.08,0.1658,,0.3527,2,1,10.6,8.4,39.6,2,0
B000093,OOT,Ontario,Employed,Debt consolidation,Own,96370.09,11805.88,0.2613,787.0,0.1193,1,3,14.1,2.7,32.8,6,0
B000094,Development,Ontario,Employed,Debt consolidation,Mortgage,63733.59,23946.44,0.2246,660.0,0.1449,0,0,50.3,9.5,7.4,6,0
B000095,Development,Alberta,Employed,Auto,Rent,68073.33,39210.42,0.5126,634.0,0.4199,0,2,6.4,,30.5,4,0
B000096,OOT,Ontario,Self-employed,Debt consolidation,Own,79541.16,44119.69,0.5016,655.0,0.2139,0,4,26.6,10.5,83.2,13,0
B000097,OOT,Quebec,Unemployed,Personal,Own,43929.98,11562.01,0.227,617.0,0.2054,1,0,15.8,7.3,91.2,8,0
B000098,Development,British Columbia,Part-time,Debt consolidation,Own,60407.89,24255.46,0.0768,747.0,0.3794,2,1,16.7,6.3,158.6,3,0
B000099,OOT,British Columbia,Employed,Auto,Rent,87770.18,45257.12,0.05,590.0,0.4239,2,3,34.5,0.2,117.8,9,0
B000100,Development,Alberta,Employed,Personal,Mortgage,35560.04,6946.51,0.5443,677.0,0.413,0,1,8.0,11.6,13.0,4,0
B000101,OOT,British Columbia,Employed,Debt consolidation,Rent,70610.55,29654.67,0.3871,742.0,0.1866,1,4,10.0,0.7,19.2,3,0
B000102,Development,British Columbia,Part-time,Debt consolidation,Mortgage,57464.06,18193.67,0.474,655.0,0.7676,1,0,16.1,2.2,115.9,4,0
B000103,OOT,Quebec,Self-employed,Debt consolidation,Own,56175.66,50759.77,0.153,620.0,0.1917,0,2,,11.5,53.6,10,0
B000104,Development,Quebec,Employed,Home improvement,Own,47403.68,13149.54,0.2198,546.0,0.3669,1,1,26.2,7.5,14.8,3,0
B000105,Development,Ontario,Employed,Education,Rent,103269.35,21582.99,0.5091,712.0,0.5386,2,2,11.3,12.8,21.2,5,0
B000106,Development,Ontario,Employed,Home improvement,Own,47417.95,8443.65,0.1575,611.0,0.2018,0,0,96.0,4.7,14.9,10,0
B000107,Development,British Columbia,Employed,Debt consolidation,Mortgage,91527.68,23904.14,0.5665,632.0,0.3512,1,3,11.2,0.9,24.4,3,0
B000108,Development,Ontario,Employed,Personal,Mortgage,66058.17,21340.46,0.533,671.0,0.55,1,1,22.6,8.5,3.7,2,0
B000109,Development,Ontario,Part-time,Debt consolidation,Mortgage,44157.21,14632.07,0.3013,685.0,0.7193,0,2,21.7,3.0,79.3,5,0
B000110,Development,Ontario,Self-employed,Debt consolidation,Mortgage,52622.8,36520.09,0.3696,721.0,0.8334,0,3,29.5,0.1,22.9,7,0
B000111,OOT,British Columbia,Employed,Education,Mortgage,61144.48,20537.88,0.0879,679.0,0.4043,0,3,3.1,1.7,86.2,6,0
B000112,Development,Other,Part-time,Debt consolidation,Own,42430.23,28445.98,0.7741,693.0,0.5813,0,1,50.0,2.4,296.8,3,0
B000113,Development,Quebec,Self-employed,Education,Mortgage,89110.33,26831.7,0.4152,588.0,0.225,2,2,27.9,0.9,60.4,5,0
B000114,OOT,Ontario,Employed,Debt consolidation,Rent,55157.58,11550.32,0.6812,744.0,0.2824,0,2,32.2,0.2,30.5,6,0
B000115,OOT,Ontario,Employed,Debt consolidation,Own,49807.83,25477.95,0.1488,544.0,0.397,1,2,16.9,6.2,13.8,3,0
B000116,Development,Alberta,Part-time,Auto,Rent,69562.23,20487.43,0.49,681.0,0.812,0,4,6.1,9.4,14.7,1,0
B000117,Development,Ontario,Employed,Home improvement,Rent,55819.32,49056.76,0.0931,714.0,0.0842,0,1,6.7,3.2,7.5,3,0
B000118,Development,Alberta,Unemployed,Auto,Rent,70861.76,25485.3,0.237,594.0,0.162,1,1,24.5,8.3,118.1,9,0
B000119,OOT,Alberta,Employed,Debt consolidation,Mortgage,94523.28,28907.25,0.0785,622.0,0.2862,0,0,18.9,2.8,24.3,1,0
B000120,Development,Alberta,Employed,Debt consolidation,Mortgage,118361.08,22791.72,0.6606,648.0,0.7924,0,1,4.0,7.9,59.2,7,0
B000121,Development,British Columbia,Employed,Education,Rent,75256.79,29296.23,0.1469,710.0,0.2976,0,0,25.9,0.4,10.7,3,0
B000122,Development,Ontario,Employed,Debt consolidation,Own,45604.04,24103.39,0.3339,745.0,0.5137,0,3,29.2,4.8,4.7,9,0
B000123,Development,Alberta,Employed,Education,Mortgage,154355.27,39805.86,0.4486,725.0,0.2899,2,1,10.0,6.0,169.3,10,0
B000124,OOT,British Columbia,Employed,Debt consolidation,Rent,75462.88,17428.28,0.0704,645.0,0.4307,0,2,1.6,3.7,61.6,5,0
B000125,OOT,Quebec,Employed,Debt consolidation,Mortgage,149072.42,17252.76,0.366,683.0,0.3938,0,1,4.4,2.9,7.3,4,0
B000126,OOT,British Columbia,Employed,Personal,Own,146987.85,30962.68,0.0671,588.0,0.3734,0,2,15.2,0.2,50.4,6,0
B000127,Development,Alberta,Employed,Auto,Mortgage,68023.86,55295.27,0.0899,587.0,0.7089,1,3,52.4,0.4,13.7,9,0
B000128,Development,Ontario,Employed,Auto,Rent,141445.94,19616.6,0.3368,729.0,0.2544,0,1,3.7,0.5,62.9,7,0
B000129,Development,Ontario,Self-employed,Home improvement,Rent,76145.53,29443.67,0.2527,765.0,0.0376,2,0,17.9,13.5,53.7,11,0
B000130,OOT,Alberta,Part-time,Personal,Own,72469.15,13437.3,0.4524,704.0,0.8264,1,0,12.0,5.1,67.2,7,0
B000131,Development,Other,Employed,Auto,Rent,66832.33,49234.92,0.4284,679.0,0.5438,0,0,3.7,2.4,78.5,7,0
B000132,Development,British Columbia,Employed,Debt consolidation,Mortgage,75852.09,24927.25,0.1458,607.0,0.4366,2,1,20.8,5.1,14.7,3,0
B000133,OOT,Other,Self-employed,Debt consolidation,Mortgage,60580.8,22930.84,0.6016,595.0,0.2951,0,1,19.7,1.4,62.4,5,0
B000134,OOT,Ontario,Employed,Auto,Mortgage,57174.13,15723.39,0.3125,618.0,0.2036,0,1,36.9,10.0,3.0,10,0
B000135,Development,Ontario,Employed,Education,Mortgage,71345.69,27563.97,0.3136,808.0,0.2191,0,2,29.6,4.4,197.2,4,0
B000136,Development,Other,Self-employed,Personal,Rent,62354.26,31040.88,0.7438,578.0,0.6218,0,4,1.1,7.0,47.0,6,0
B000137,Development,British Columbia,Employed,Debt consolidation,Rent,78585.74,16280.23,0.298,687.0,0.6883,0,0,3.0,9.3,77.8,6,0
B000138,Development,Alberta,Employed,Debt consolidation,Mortgage,65175.66,24843.55,0.1919,713.0,0.1432,2,1,5.1,5.9,3.0,7,0
B000139,Development,Quebec,Employed,Debt consolidation,Own,57100.42,33352.71,0.7149,686.0,0.1291,0,2,24.3,0.8,72.5,8,0
B000140,Development,Other,Employed,Education,Rent,70353.12,28215.02,0.2448,568.0,0.2306,1,1,5.7,14.0,132.1,7,0
B000141,Development,Alberta,Part-time,Debt consolidation,Own,41524.4,61875.3,0.4221,658.0,0.3518,0,0,22.1,2.4,20.5,6,0
B000142,Development,British Columbia,Part-time,Education,Mortgage,96573.85,23290.14,0.6446,704.0,0.8049,0,0,16.7,1.5,34.6,5,0
B000143,Development,Other,Employed,Debt consolidation,Rent,49396.18,59456.83,0.3851,687.0,0.4223,0,3,9.2,10.2,78.9,6,0
B000144,Development,Other,Employed,Debt consolidation,Rent,74795.53,31213.02,0.0579,695.0,0.3409,0,1,45.7,0.4,4.7,8,0
B000145,OOT,Other,Self-employed,Personal,Rent,33818.07,14866.45,0.4316,777.0,0.4764,0,4,25.9,1.1,78.4,6,0
B000146,Development,Alberta,Unemployed,Auto,Other,71167.97,65953.7,0.1888,704.0,0.3064,2,0,21.1,2.3,3.0,7,0
B000147,Development,Ontario,Employed,Auto,Rent,27644.7,27131.02,0.3811,658.0,0.5975,0,5,34.6,1.5,3.0,5,0
B000148,OOT,Ontario,Self-employed,Auto,Other,74646.31,24574.62,0.3882,641.0,0.0959,0,2,25.2,27.8,66.3,9,0
B000149,Development,Ontario,Employed,Debt consolidation,Rent,71774.21,22377.25,0.4303,698.0,0.538,0,0,5.5,11.0,13.8,7,0
B000150,Development,Ontario,Employed,Personal,Other,58046.34,47312.18,0.3222,779.0,0.1158,0,0,28.6,7.4,95.2,6,0
B000151,OOT,Other,Employed,Debt consolidation,Rent,82476.94,32343.74,0.372,645.0,0.2436,0,2,21.3,0.7,104.1,4,0
B000152,Development,Ontario,Self-employed,Personal,Rent,71231.89,24708.2,0.237,567.0,0.4095,1,0,25.9,5.5,48.9,6,0
B000153,OOT,Quebec,Part-time,Personal,Own,54211.22,43312.58,0.1689,589.0,0.5475,0,3,4.4,3.0,82.1,7,0
B000154,Development,Alberta,Employed,Debt consolidation,Mortgage,54574.31,36696.38,0.684,695.0,0.3617,0,0,78.6,1.3,70.7,3,0
B000155,OOT,Ontario,Part-time,Home improvement,Mortgage,60005.78,33035.7,0.2915,677.0,0.6058,0,1,70.4,2.8,3.7,9,0
B000156,OOT,Ontario,Employed,Auto,Mortgage,83495.49,25921.93,0.0886,749.0,0.4498,3,2,17.5,6.5,54.4,9,0
B000157,OOT,Ontario,Employed,Auto,Rent,128625.79,12409.97,0.3453,555.0,0.546,0,1,39.0,5.3,93.6,9,0
B000158,Development,Ontario,Part-time,Personal,Mortgage,54660.4,13107.46,0.4765,723.0,0.6539,0,2,8.8,1.1,14.3,9,0
B000159,OOT,Ontario,Employed,Auto,Mortgage,63311.88,25771.17,0.8076,671.0,0.2494,0,1,31.1,27.7,4.1,5,0
B000160,Development,Ontario,Part-time,Debt consolidation,Rent,101400.71,20150.09,0.1541,695.0,0.2066,0,3,17.9,6.2,64.8,5,0
B000161,Development,Quebec,Part-time,Home improvement,Rent,39784.45,26130.6,0.376,784.0,0.723,4,1,0.9,3.3,73.7,12,0
B000162,Development,Ontario,Part-time,Home improvement,Rent,119540.0,32259.8,0.5801,509.0,0.2096,0,1,2.4,9.1,11.2,4,0
B000163,Development,Ontario,Self-employed,Auto,Own,52307.76,65423.74,0.1358,618.0,0.3734,1,3,2.2,2.5,13.3,7,0
B000164,OOT,Alberta,Self-employed,Home improvement,Rent,57268.75,23004.85,0.687,694.0,0.376,2,1,24.7,0.3,83.5,8,0
B000165,OOT,British Columbia,Employed,Home improvement,Mortgage,50177.53,59889.11,0.2654,767.0,0.3634,0,1,21.8,0.6,10.1,2,0
B000166,Development,Quebec,Self-employed,Home improvement,Own,73800.62,25446.11,0.6118,613.0,0.3864,1,1,17.4,4.2,110.2,3,0
B000167,OOT,Ontario,Employed,Home improvement,Mortgage,,17957.7,0.4566,637.0,0.2615,1,1,13.0,6.1,10.9,5,0
B000168,Development,Quebec,Unemployed,Personal,Mortgage,80604.95,28416.41,0.2861,577.0,0.8597,0,2,28.8,5.3,24.4,7,0
B000169,OOT,Alberta,Employed,Debt consolidation,Mortgage,60627.06,37342.3,0.0652,655.0,0.1063,2,3,35.7,3.0,156.9,6,0
B000170,Development,Ontario,Self-employed,Auto,Mortgage,45655.76,33470.91,0.104,634.0,0.4177,2,1,28.6,3.3,53.3,4,0
B000171,Development,Ontario,Self-employed,Personal,Rent,84655.1,21398.65,0.1579,707.0,0.1522,1,1,25.8,2.4,30.2,6,0
B000172,Development,Quebec,Employed,Personal,Rent,89675.68,29232.08,0.2991,601.0,0.1108,0,1,24.2,0.6,223.1,4,0
B000173,OOT,Alberta,Self-employed,Debt consolidation,Own,69904.01,41388.48,0.2889,682.0,0.3883,2,3,12.2,3.8,86.2,5,0
B000174,Development,British Columbia,Employed,Debt consolidation,Mortgage,33475.34,41053.46,0.3302,661.0,0.8406,1,0,24.0,0.5,58.9,6,0
B000175,Development,Other,Employed,Home improvement,Mortgage,125289.08,15606.67,0.2424,754.0,0.3068,1,0,2.3,3.4,59.1,3,0
B000176,OOT,Ontario,Employed,Auto,Other,112304.81,24934.28,0.49,715.0,0.3825,2,0,46.6,4.7,24.6,2,0
B000177,OOT,Quebec,Employed,Auto,Mortgage,26367.92,29511.09,0.6381,680.0,0.3499,1,3,7.5,0.5,159.5,4,0
B000178,Development,Ontario,Part-time,Home improvement,Own,66385.81,33419.89,0.1805,669.0,0.2527,0,2,0.3,16.3,19.5,4,0
B000179,OOT,Alberta,Self-employed,Debt consolidation,Own,53427.22,23984.88,0.0888,692.0,0.7369,1,0,5.8,2.2,16.1,6,0
B000180,Development,British Columbia,Employed,Education,Mortgage,34971.96,57317.57,0.6173,850.0,0.532,0,1,30.9,1.6,8.9,8,0
B000181,Development,Ontario,Self-employed,Home improvement,Mortgage,43248.94,13374.27,0.0648,,0.2827,1,0,6.2,18.0,118.3,8,0
B000182,Development,Ontario,Employed,Debt consolidation,Own,50448.74,56682.76,0.2342,646.0,0.4369,0,1,2.1,1.0,20.0,5,0
B000183,Development,Ontario,Employed,Home improvement,Mortgage,113025.91,45610.14,0.2072,673.0,0.0271,0,2,16.2,7.4,136.3,4,0
B000184,OOT,Alberta,Self-employed,Auto,Other,58112.96,28451.7,0.2009,598.0,0.3299,1,2,1.0,1.0,139.2,9,0
B000185,OOT,Ontario,Employed,Education,Mortgage,61619.65,80931.96,0.6135,612.0,0.4368,0,5,19.8,2.2,33.1,7,0
B000186,Development,Other,Employed,Debt consolidation,Rent,77254.35,19321.8,0.1799,598.0,0.2397,0,2,3.2,8.9,126.0,5,0
B000187,Development,Quebec,Part-time,Personal,Mortgage,58521.8,67606.48,0.1577,656.0,0.6101,0,0,61.0,3.6,101.3,5,0
B000188,Development,Alberta,Employed,Debt consolidation,Rent,56538.62,24511.57,0.1511,722.0,0.1697,1,1,15.5,3.0,31.1,3,0
B000189,OOT,Ontario,Employed,Education,Mortgage,67848.68,34710.29,0.3114,783.0,0.9318,1,3,3.8,7.8,112.3,5,0
B000190,Development,Alberta,Employed,Auto,Rent,70585.5,32029.63,0.1258,642.0,0.2352,0,4,3.5,5.7,121.0,3,1
B000191,OOT,Quebec,Employed,Education,Mortgage,81865.61,23712.07,0.2923,707.0,0.7595,1,0,14.3,0.2,104.5,8,0
B000192,Development,Ontario,Employed,Auto,Rent,57781.78,27876.86,0.296,850.0,0.2531,1,2,7.9,23.8,8.7,5,0
B000193,Development,Quebec,Self-employed,Personal,Mortgage,44254.3,19935.5,0.2129,675.0,0.3311,0,2,61.6,0.5,22.2,8,0
B000194,Development,British Columbia,Employed,Auto,Other,59909.46,32111.06,0.05,729.0,0.2835,0,2,0.2,4.1,107.6,6,0
B000195,OOT,British Columbia,Employed,Personal,Rent,73568.7,37538.61,0.1873,711.0,0.3303,1,1,21.1,2.4,43.6,7,0
